Age,Gender,spotify_usage_period,User_ID,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating
20-35,Female,More than 2 years,User_1,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Hip-hop,Night,Sadness or melancholy,leisure time,Playlists,3
12-20,Male,More than 2 years,User_2,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Country,Afternoon,Social gatherings or parties,Workout session,Playlists,2
35-60,Others,6 months to 1 year,User_3,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,,R&B,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4
20-35,Female,1 year to 2 years,User_4,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,,Jazz,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4
20-35,Female,1 year to 2 years,User_5,Smartphone,Free (ad-supported),No,None,,Folk,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4
20-35,Male,More than 2 years,User_6,Smartphone,Free (ad-supported),No,None,,Indie,Night,Uplifting and motivational,Workout session,Others,3
20-35,Female,1 year to 2 years,User_7,Smartphone,Free (ad-supported),No,None,,Rock,Morning,Relaxation and stress relief,Office hours,recommendations,3
20-35,Female,Less than 6 months,User_8,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Social gatherings or parties,leisure time,recommendations,5
20-35,Female,Less than 6 months,User_9,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Electronic,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4
20-35,Female,More than 2 years,User_10,Smartphone,Free (ad-supported),No,None,,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4
20-35,Female,More than 2 years,User_11,Smartphone,Free (ad-supported),No,None,,Hip-hop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3
20-35,Female,1 year to 2 years,User_12,Smartphone,Free (ad-supported),No,None,,Country,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3
20-35,Female,1 year to 2 years,User_13,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,R&B,Morning,Relaxation and stress relief,Office hours,Playlists,3
20-35,Female,More than 2 years,User_14,Smartphone,Free (ad-supported),No,None,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1
20-35,Female,More than 2 years,User_15,Smartphone,Free (ad-supported),Yes,None,,Folk,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5
20-35,Female,More than 2 years,User_16,Smartphone,Free (ad-supported),No,None,,Indie,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2
20-35,Female,Less than 6 months,User_17,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Rock,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1
20-35,Female,Less than 6 months,User_18,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Social gatherings or parties,Social gatherings ,recommendations,4
20-35,Female,More than 2 years,User_19,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,leisure time,recommendations,3
20-35,Female,1 year to 2 years,User_20,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Pop,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4
20-35,Female,1 year to 2 years,User_21,Smartphone,Free (ad-supported),No,None,,Hip-hop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4
20-35,Male,More than 2 years,User_22,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Country,Morning,Relaxation and stress relief,Office hours,recommendations,5
20-35,Female,Less than 6 months,User_23,Smartphone,Free (ad-supported),No,None,,R&B,Night,Relaxation and stress relief,While Traveling,recommendations,4
20-35,Female,More than 2 years,User_24,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1
20-35,Male,More than 2 years,User_25,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,,Folk,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3
20-35,Female,1 year to 2 years,User_26,Smartphone,Free (ad-supported),No,None,,Indie,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4
12-20,Male,6 months to 1 year,User_27,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,,Rock,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4
35-60,Male,Less than 6 months,User_28,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Relaxation and stress relief,leisure time,recommendations,1
20-35,Female,Less than 6 months,User_29,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4
20-35,Female,6 months to 1 year,User_30,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3
20-35,Female,6 months to 1 year,User_31,Smartphone,Free (ad-supported),No,None,,Hip-hop,Morning,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Male,1 year to 2 years,User_32,Smartphone,Free (ad-supported),No,None,,Country,Night,Relaxation and stress relief,Office hours,Playlists,5
12-20,Male,More than 2 years,User_33,Smartphone,Free (ad-supported),No,None,,R&B,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3
12-20,Male,More than 2 years,User_34,Smartphone,Free (ad-supported),Yes,None,,Jazz,Night,Relaxation and stress relief,While Traveling,recommendations,3
20-35,Female,Less than 6 months,User_35,Smartphone,Free (ad-supported),No,None,,Folk,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4
12-20,Male,1 year to 2 years,User_36,Smartphone,Free (ad-supported),No,None,,Indie,Night,Uplifting and motivational,Workout session,Others,1
20-35,Female,More than 2 years,User_37,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Rock,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3
20-35,Female,More than 2 years,User_38,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Reggae,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3
12-20,Female,More than 2 years,User_39,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4
