Song_ID,Artist,Genre,Popularity,Duration_ms,Tempo,Energy,Danceability,Album
Song_453,The Weeknd,Pop,23,189707,192.3676524,0.8549366185,0.3584309786,After Hours
Song_3941,Beyoncé,Reggae,83,270502,139.2377303,0.4865502399,0.4738582071,the bottom
Song_4355,gracie abrams,Electronic,70,272010,103.131725,0.45278555,0.20012966,the bottom
Song_5764,gracie abrams,Rock,44,150619,96.31664664,0.3370379605,0.4185366447,Chromatica
Song_9731,Coldplay,Indie,17,213235,199.0546602,0.70143063,0.367830275,Divide
Song_251,Shawn Mendes,Rock,89,231203,186.1896482,0.5945299865,0.003345122415,Scorpion
Song_1382,Ariana Grande,Indie,57,172921,183.1424586,0.4240513778,0.5951305721,Chromatica
Song_2724,Beyoncé,Country,93,241213,81.27688935,0.9976610791,0.9392797912,Scorpion
Song_3208,Kendrick Lamar,Reggae,95,223068,197.3573109,0.8577056686,0.3110551101,Lemonade
Song_4400,Bruno Mars,Country,31,267417,83.45822958,0.125975499,0.8678924483,Divide
Song_6521,Beyoncé,Jazz,54,228803,111.5178476,0.8739910058,0.8830917882,Chromatica
Song_7655,gracie abrams,Electronic,93,291755,72.11013072,0.06959115374,0.9760790029,1989
Song_7730,Adele,Folk,81,168519,71.07887301,0.8289918122,0.881825781,the bottom
Song_8292,Adele,R&B,80,256430,78.02195024,0.4126625639,0.6721145844,Lemonade
Song_8912,Bruno Mars,Folk,91,196461,177.5671747,0.3636380736,0.3318108607,"Thank U, Next"
Song_9826,Billie Eilish,Jazz,39,180894,192.7169232,0.06534677566,0.35934779,Hollywood's Bleeding
Song_198,The Weeknd,Reggae,56,160078,119.3254564,0.6943338735,0.8957519688,"Thank U, Next"
Song_269,Post Malone,Jazz,21,192180,91.92394795,0.5477232768,0.7445776571,1989
Song_1499,Drake,Folk,24,150059,53.33273714,0.7025063825,0.6329304374,Lemonade
Song_1975,Post Malone,Indie,17,238360,164.758462,0.8478827735,0.746705915,After Hours
Song_3395,Bruno Mars,Rock,61,176531,116.4882433,0.8265602139,0.9255054961,Lemonade
Song_6109,Drake,Pop,72,159072,189.0343639,0.8448069728,0.9752431451,1989
Song_6712,Drake,Electronic,9,244837,76.40243656,0.636019786,0.5835997825,1989
Song_8134,Imagine Dragons,Indie,70,217522,153.8875955,0.6908011463,0.3399692259,"When We All Fall Asleep, Where Do We Go?"
Song_8295,Kendrick Lamar,Indie,35,183139,55.79421084,0.3801364509,0.8562178109,Purpose
